"Id","Elected","Amount","Label","Size","Color","ElectColor"
"matt gaetz",TRUE,97076,"Matt Gaetz",3.15290719288373,"red","red"
"sean gale",FALSE,15250,"Sean Gale",2.62015500491308,"red","grey"
"mike gallagher",TRUE,172850,"Mike Gallagher",3.34015744311558,"red","red"
"stephanie gallardo",FALSE,27266,"Stephanie Gallardo",2.77691216501781,"blue","grey"
"ruben gallego",TRUE,120677,"Ruben Gallego",3.22227387722032,"blue","blue"
"david galluch",FALSE,95169,"David Galluch",3.14665805192493,"red","grey"
"john garamendi",TRUE,102350,"John Garamendi",3.16963157617776,"blue","blue"
"andrew garbarino",TRUE,384550,"Andrew Garbarino",3.61822259661058,"red","red"
"eric garcia",FALSE,8385,"Eric Garcia",2.46802927406585,"blue","grey"
"jesus garcia",FALSE,101200,"Jesus Garcia",3.16605205619485,"blue","grey"
"mike garcia",TRUE,136400,"Mike Garcia",3.26198107471485,"red","red"
"sylvia garcia",TRUE,113760,"Sylvia Garcia",3.20330991765965,"blue","blue"
"alia garcia-ureste",FALSE,7040,"Alia Garcia-Ureste",2.42525420309759,"red","grey"
"mauro garza",FALSE,102728,"Mauro Garza",3.17080024659391,"red","grey"
"eric gash",FALSE,29200,"Eric Gash",2.79600719818286,"blue","grey"
"derrick gates",FALSE,1250,"Derrick Gates",2.04028577336837,"red","grey"
"charles gearing",FALSE,69196,"Charles Gearing",3.04795182924698,"blue","grey"
"adam gentle",FALSE,25100,"Adam Gentle",2.75402179030022,"blue","grey"
"mike gibbons",FALSE,205150,"Mike Gibbons",3.39787307530427,"red","grey"
"bob gibbs",FALSE,85300,"Bob Gibbs",3.11239639144613,"red","grey"
"david giglio",FALSE,41117,"David Giglio",2.89335779374258,"red","grey"
"carlos gimenez",FALSE,184662,"Carlos Gimenez",3.36231000955951,"red","grey"
"maebe girl",FALSE,2550,"Maebe Girl",2.19105872660243,"blue","grey"
"sarah godlewski",FALSE,187062,"Sarah Godlewski",3.36665456012042,"blue","grey"
"louis gohmert",FALSE,35300,"Louis Gohmert",2.84955779984199,"red","grey"
"jared golden",TRUE,203164,"Jared Golden",3.39456927092436,"blue","blue"
"jimmy gomez",TRUE,149250,"Jimmy Gomez",3.29148161768111,"blue","blue"
"tony gonzales",TRUE,167800,"Tony Gonzales",3.33026808681034,"red","red"
"anthony gonzalez",FALSE,82900,"Anthony Gonzalez",3.10352646440456,"red","grey"
"jenniffer gonzalez",FALSE,69972,"Jenniffer Gonzalez",3.05135283305627,"3","grey"
"vicente gonzalez",TRUE,227885,"Vicente Gonzalez",3.43377294111587,"blue","blue"
"bob good",TRUE,132132,"Bob Good",3.2516275974214,"red","red"
"lance gooden",TRUE,106200,"Lance Gooden",3.18135732911244,"red","red"
"laverne gore",FALSE,13400,"Laverne Gore",2.58648807143213,"red","grey"
"jeff gorman",FALSE,22491,"Jeff Gorman",2.72396094501129,"red","grey"
"meg gorman",FALSE,27250,"Meg Gorman",2.77674916959651,"blue","grey"
"paul gosar",TRUE,91800,"Paul Gosar",3.13533729265393,"red","red"
"josh gottheimer",TRUE,586902,"Josh Gottheimer",3.77447504999608,"blue","blue"
"kay granger",TRUE,258450,"Kay Granger",3.47726391444302,"red","red"
"steven grant",FALSE,14800,"Steven Grant",2.61231877372374,"yellow","grey"
"chuck grassley",TRUE,260954,"Chuck Grassley",3.48061827263471,"red","red"
"garret graves",TRUE,117200,"Garret Graves",3.21286709854205,"red","red"
"sam graves",TRUE,222750,"Sam Graves",3.42595592353063,"red","red"
"chuck gray",FALSE,21408,"Chuck Gray",2.7105511654382,"red","grey"
"alan grayson",FALSE,34575,"Alan Grayson",2.84365050443408,"blue","grey"
"al green",TRUE,79050,"Al Green",3.08880283643359,"blue","blue"
"mark green",TRUE,149600,"Mark Green",3.29225267608694,"red","red"
"marjorie greene",TRUE,149002,"Marjorie Greene",3.29093428203354,"red","red"
"eric greitens",FALSE,135900,"Eric Greitens",3.2607833568138,"red","grey"
"morgan griffith",TRUE,115763,"Morgan Griffith",3.20890586709212,"red","red"
"benjamin griffiths",FALSE,3500,"Benjamin Griffiths",2.26155317937256,"red","grey"
"raul grijalva",TRUE,85150,"Raul Grijalva",3.11184864313648,"blue","blue"
"glenn grothman",TRUE,127050,"Glenn Grothman",3.23889945874326,"red","red"
"michael guest",TRUE,158447,"Michael Guest",3.31122278676295,"red","red"
"brett guthrie",TRUE,135850,"Brett Guthrie",3.26066336699234,"red","red"
"jim hagedorn",FALSE,76750,"Jim Hagedorn",3.0796959252541,"red","grey"
"jane hamilton",FALSE,79100,"Jane Hamilton",3.08899815104603,"blue","grey"
"tamika hamilton",FALSE,56137,"Tamika Hamilton",2.98486655623208,"red","grey"
"wendy hamilton",FALSE,10038,"Wendy Hamilton",2.51283932004718,"blue","grey"
"mary hanusa",FALSE,13450,"Mary Hanusa",2.58745156222442,"red","grey"
"dave harden",FALSE,57725,"Dave Harden",2.99320453230149,"blue","grey"
"josh harder",TRUE,518292,"Josh Harder",3.72784160092444,"blue","blue"
"omari hardy",FALSE,35150,"Omari Hardy",2.84834461795229,"blue","grey"
"kenneth harper",FALSE,6400,"Kenneth Harper",2.40224886796286,"red","grey"
"andy harris",TRUE,126950,"Andy Harris",3.23864443731698,"red","red"
